"orderType","orderNumber","deliveryGroupId","deliveryDate","lineNbr","inventoryId","lineDescription","itemType","itemClass","requestedOn","eta","orderQty","openQty","activeAllocatedQty","allocationStatus","etaStatus","readinessStatus","displayStatus","allocationRowsCompact","manualReviewStatus","manualReviewNotes"
"BQ","BQ00892","cmrjjzeoq000cbsmbxe3yt0qx","2026-07-22","1","HGF1050MUC","Bosch 30"" Slide-In Gas Range with 5 Sealed Burners, 5.8 cu. ft. Oven Capacity, Storage Drawer, Self-Clean, Rapid Pre-Heat, Large Center Oval Burner, ADA Compliant, Sabbath Mode and Star-K Certified","F","106","2026-07-22",,"0","0","0","complete","complete","complete","Complete","","",""
"BQ","BQ00892","cmrjjzeoq000cbsmbxe3yt0qx","2026-07-22","3","HMV1055U","Bosch 30"" Over-the-Range Microwave with 1.7 cu. ft. Capacity, Multi-Speed 300 CFM Vent, Automatic Defrost, LCD Display, 1000 Watts Cooking Power, and Seamless Integration","F","106","2026-07-22","2026-07-08","1","1","1","allocated","ready","ready","Ready","[false/true/1] [true/false/1]","",""
"BQ","BQ00892","cmrjjzeoq000cbsmbxe3yt0qx","2026-07-22","5","SHE41CM5N","Bosch Dishwasher 300 Recessed Handle, , Stnlss Tub,  2 Rack, 5/3 cycles, 48 dBA - Stainless Steel, (S300  Series)","F","106","2026-07-22","2026-07-08","1","1","1","allocated","ready","ready","Ready","[false/true/1] [true/false/1]","",""
"BQ","BQ00892","cmrjjzeoq000cbsmbxe3yt0qx","2026-07-22","7","DELIVERY - GARAGE - STD","Delivery Of Standard Appliances To Garage","N","111","2026-07-22",,"1","0","0","ignored","ignored","ignored","Ignored","","",""
"C1","C106229","cmrjjzh22000rbsmb3tw6d89i","2026-07-22","1","WM9900HSA","LG 5.8 cu ft. 29"" Washer with TurboWash360, Full touch LCD screen,AI Direct Drive,ezDispense, Brushed Platinum Steel Energy Star Compliant,","F","105","2026-07-22","2026-07-17","1","1","1","allocated","ready","ready","Ready","[false/true/1] [true/false/1]","",""
"C1","C106229","cmrjjzh22000rbsmb3tw6d89i","2026-07-22","3","DLGX9901S","LG 9.0 cu ft Gas Dryer with TurboSteam, AI sensor dry, Full touch LCD Screen, Brushed Platinum Steel Energy Star Compliant,","F","105","2026-07-22","2026-07-17","1","1","1","allocated","ready","ready","Ready","[false/true/1] [true/false/1]","",""
"C1","C106229","cmrjjzh22000rbsmb3tw6d89i","2026-07-22","8","W10623830","Whirlpool Premium Steam Hose KitColor: OtherMinor Appliance (03-008SSP)","F","104","2026-07-22",,"1","1","0","not_allocated","eta_pending","eta_pending","ETA pending","[false/false/1]","",""
"C1","C106229","cmrjjzh22000rbsmb3tw6d89i","2026-07-22","10","50-105P2","Arrow Industries 5 Ft. Washer Hoses 2 Pack, ( 8212545RP )","F","104","2026-07-22",,"1","1","0","not_allocated","eta_pending","eta_pending","ETA pending","[false/false/1]","",""
"C1","C106338","cmrkv3tne0018zwmbuhn19s2a","2026-07-22","1","CT472CUFGT40#01","TOTO Glaston Washlet +S7A Two Piece Toilet Elongated Bowl","F","123","2026-07-22","2026-07-17","1","1","0","not_allocated","expected_on_time","expected_on_time","Expected on time","[false/false/1]","",""
"C1","C106338","cmrkv3tne0018zwmbuhn19s2a","2026-07-22","3","ST472EA#01","TOTO Glaston™ Two-Piece Toilet - 1.28 GPF - Cotton","F","123","2026-07-22",,"1","1","1","allocated","ready","ready","Ready","[true/false/1]","",""
"C1","C106338","cmrkv3tne0018zwmbuhn19s2a","2026-07-22","5","SW4736AT40#01","Toto Washlet® S7A - Contemporary - Elongated With Ewater+","F","103","2026-07-22","2026-07-15","1","1","1","allocated","ready","ready","Ready","[true/false/1]","",""
"C1","C106338","cmrkv3tne0018zwmbuhn19s2a","2026-07-22","7","THU857","Toto Auto-Flush Unit For 1.28Gpf","F","103","2026-07-22","2026-07-15","1","1","1","allocated","ready","ready","Ready","[true/false/1]","",""
"C1","C106479","cmrjjziop000zbsmbni6uv7a6","2026-07-22","1","HGF3050MUC","Bosch 30 Inch Gas Slide-In Range with 5 Sealed Burners, 5.8 cu. ft. Oven Capacity, Storage Drawer, Continuous Grates, Self-Clean, Steam-Assist Clean, Air Fry, Sleek Backlit User Interface, Sabbath Mode, Star-K Certified, and ADA Compliant","F","106","2026-07-22","2026-06-30","1","1","1","allocated","ready","ready","Ready","[false/true/1] [true/false/1]","",""
"C1","C106498","cmrjjzke80017bsmbugd4cf3z","2026-07-22","1","HMD8054UC","Bosch 800 Series, 30"" Drawer Microwave","F","106","2026-07-22","2026-07-06","1","1","1","allocated","ready","ready","Ready","[false/true/1] [true/false/1]","",""
"C1","C106507","cmrjjzmi2001gbsmbrw8wwmuq","2026-07-22","1","HMD8454UC","Bosch 800 Series, 24"" Drawer Microwave","F","106","2026-07-22","2026-07-13","1","1","1","allocated","ready","ready","Ready","[false/true/1] [true/false/1]","",""
"CB","CB00533","cmrjjzrgg003cbsmb5jea7v8y","2026-07-22","2","SRT484DG","Wolf 48 Sealed Burner Gas Rangetop 4 Bur","F","106","2026-07-22","2026-06-15","1","1","1","allocated","ready","ready","Ready","[false/true/1] [true/false/1]","",""
"CB","CB00533","cmrjjzrgg003cbsmb5jea7v8y","2026-07-22","4","827314","Wolf Stainless Steel Knob Kit, Srt (Free","F","104","2026-07-22","2026-07-13","1","1","0","not_allocated","expected_on_time","expected_on_time","Expected on time","[false/false/1]","",""
"CB","CB00533","cmrjjzrgg003cbsmb5jea7v8y","2026-07-22","6","DEC3050RID/R","Sub Zero 30"" Designer Column Refrigerator, Internal Dispenser, Panel Ready, Right Hinge","F","106","2026-07-22","2026-06-15","1","1","1","allocated","ready","ready","Ready","[false/true/1] [true/false/1]","",""
"CB","CB00533","cmrjjzrgg003cbsmb5jea7v8y","2026-07-22","8","DEC3050FI/L","Sub Zero 30 Inch  Designer Column Freezer With Ice Maker - Panel Ready","F","106","2026-07-22","2026-06-15","1","1","1","allocated","ready","ready","Ready","[false/true/1] [true/false/1]","",""
"CB","CB00533","cmrjjzrgg003cbsmb5jea7v8y","2026-07-22","10","SO3050TM/S/T","Wolf 30 Transitional M-Series Single Ove","F","106","2026-07-22","2026-06-15","1","1","1","allocated","ready","ready","Ready","[false/true/1] [true/false/1]","",""
"CB","CB00533","cmrjjzrgg003cbsmb5jea7v8y","2026-07-22","12","CSO3050TM/S/T","Wolf 30"" M Series Transitional Convection Steam Oven","F","106","2026-07-22","2026-06-15","1","1","1","allocated","ready","ready","Ready","[false/true/1] [true/false/1]","",""
"CB","CB00533","cmrjjzrgg003cbsmb5jea7v8y","2026-07-22","14","WWD30","Wolf Warming Drawer 30""","F","106","2026-07-22","2026-06-15","1","1","1","allocated","ready","ready","Ready","[false/true/1] [true/false/1]","",""
"CB","CB00533","cmrjjzrgg003cbsmb5jea7v8y","2026-07-22","17","DEC3650RID/R","Sub Zero 36"" Designer Column Refrigerator, Internal Dispenser, Panel Ready, Right Hinge","F","106","2026-07-22","2026-06-15","1","1","1","allocated","ready","ready","Ready","[false/true/1] [true/false/1]","",""
"CB","CB00533","cmrjjzrgg003cbsmb5jea7v8y","2026-07-22","19","KUIX515SPA","Kitchen Aid Im 15W Revdoor Fpr Pump Pa","F","105","2026-07-22","2026-06-22","1","1","1","allocated","ready","ready","Ready","[false/true/1] [false/true/1] [true/false/1]","",""
"CB","CB00533","cmrjjzrgg003cbsmb5jea7v8y","2026-07-22","22","TR5006WN","Speed Queen 26 Inch Top Load Washer with 3.2 cu ft Capacity, Ultra Quiet, Unlocked Convenience Lid, Automatic Balancing System, End of Cycle Signal, 6 Preset Cycle, Perfect Wash™, No Lid Lock, Delay Start","F","106","2026-07-22","2026-06-19","1","1","1","allocated","ready","ready","Ready","[false/true/1] [true/false/1]","",""
"CB","CB00533","cmrjjzrgg003cbsmb5jea7v8y","2026-07-22","24","DR5004WE","Speed Queen Dryer (electronic controls)","F","106","2026-07-22","2026-06-19","1","1","1","allocated","ready","ready","Ready","[false/true/1] [true/false/1]","",""
"CB","CB00533","cmrjjzrgg003cbsmb5jea7v8y","2026-07-22","26","MLD-4PD-30AMP-4FT","30 AMP, 4 PRONG DRYER CORD - 4 FOOT, (i.e. PT400L, 60-54A)","F","104","2026-07-22",,"1","1","0","not_allocated","eta_pending","eta_pending","ETA pending","[false/false/1]","",""
"CB","CB00533","cmrjjzrgg003cbsmb5jea7v8y","2026-07-22","29","SWWE50N3","LG WashTower Series 27 Inch Electric Laundry Center with 5 cu. ft. Washer Capacity, Wi-Fi Enabled, 12 Wash Cycles, 7.4 cu. ft. Dryer Capacity, 12 Dry Cycles, Energy Star Certified, WashTowe","F","106","2026-07-22","2026-06-10","1","1","1","allocated","ready","ready","Ready","[false/true/1] [true/false/1]","",""
"CB","CB00533","cmrjjzrgg003cbsmb5jea7v8y","2026-07-22","31","DELIVERY - IN HOME - BI","Delivery Of Built-In Appliances In Home.  Includes unboxing of units.  Does not include hauling away old appliances.  Does not include installation.","N","111","2026-07-22",,"1","1","0","ignored","ignored","ignored","Ignored","[false/false/1]","",""
"CB","CB00533","cmrjjzrgg003cbsmb5jea7v8y","2026-07-22","34","808152","Wolf Warming Drawer Door Kit - Integrated","F","104","2026-07-22","2026-06-15","1","1","1","allocated","ready","ready","Ready","[false/true/1] [true/false/1]","",""
"CB","CB00533","cmrjjzrgg003cbsmb5jea7v8y","2026-07-22","37","W10623830","Whirlpool Premium Steam Hose KitColor: OtherMinor Appliance","F","104","2026-07-22",,"1","1","0","not_allocated","eta_pending","eta_pending","ETA pending","[false/false/1]","",""
"CB","CB00533","cmrjjzrgg003cbsmb5jea7v8y","2026-07-22","39","MLD-4PD-30AMP-4FT","30 AMP, 4 PRONG DRYER CORD - 4 FOOT, (i.e. PT400L, 60-54A)","F","104","2026-07-22",,"1","1","0","not_allocated","eta_pending","eta_pending","ETA pending","[false/false/1]","",""
"CB","CB00533","cmrjjzrgg003cbsmb5jea7v8y","2026-07-22","41","8212638RP","Whirlpool 6Ft L, Nylon Braided Hose (Arrow 50-116P2)","F","104","2026-07-22",,"1","1","0","not_allocated","eta_pending","eta_pending","ETA pending","[false/false/1]","",""
"CB","CB00533","cmrjjzrgg003cbsmb5jea7v8y","2026-07-22","43","HBN224812SS","Best 48"" Built-In Insert, Iq12, Stainless Steel","F","106","2026-07-22","2026-06-15","1","1","1","allocated","ready","ready","Ready","[false/true/1] [true/false/1]","",""
"CB","CB00533","cmrjjzrgg003cbsmb5jea7v8y","2026-07-22","45","DW2451","Cove Built-In Dishwasher 24"",  Panel Ready","F","106","2026-07-22",,"1","1","0","not_allocated","eta_pending","eta_pending","ETA pending","[false/false/1]","",""
"CB","CB00533","cmrjjzrgg003cbsmb5jea7v8y","2026-07-22","47","PCHK11S1WSS","GE Profile, Countertop Microwave Oven, 1.1 Cu.Ft., Sensor, Smart, 800W, Built-In and Under-cabinet installation capable with optional Kits","F","105","2026-07-22","2026-06-10","1","1","1","allocated","ready","ready","Ready","[false/true/1] [true/false/1]","",""
"HW","HW06085","cmrjjzw3c004ibsmbnr2mqaku","2026-07-22","2","2284MQUS14","Emtek Modern Tubular Brass Paper Holder Pivoting Double Post Small Square Rosette - Polished Nickel","F","122","2026-07-22",,"1","1","1","allocated","ready","ready","Ready","[false/true/1] [true/false/1]","",""
"HW","HW06085","cmrjjzw3c004ibsmbnr2mqaku","2026-07-22","5","695035-GL","Brizo Litze®: Tissue Holder Luxe Gold","F","103","2026-07-22",,"1","1","1","allocated","ready","ready","Ready","[false/true/1] [true/false/1]","",""
"HW","HW06085","cmrjjzw3c004ibsmbnr2mqaku","2026-07-22","7","693535-GL","Brizo Litze®: Double Robe Hook","F","103","2026-07-22",,"2","2","2","allocated","ready","ready","Ready","[false/true/2] [true/false/2]","",""
"HW","HW06085","cmrjjzw3c004ibsmbnr2mqaku","2026-07-22","9","694735-GL","Brizo Litze®: 8"" Towel Bar","F","103","2026-07-22",,"1","1","1","allocated","ready","ready","Ready","[false/true/1] [true/false/1]","",""
"HW","HW06085","cmrjjzw3c004ibsmbnr2mqaku","2026-07-22","12","30-STP-PN","California Faucets Descanso Single Post Toilet Paper Or Hand Towel Holder / Polished Nickel - Pvd","F","125","2026-07-22","2026-07-21","1","1","1","allocated","ready","ready","Ready","[false/true/1] [true/false/1]","",""
"HW","HW06085","cmrjjzw3c004ibsmbnr2mqaku","2026-07-22","14","30-24-PN","California Faucets Descanso 24 in Towel Bar - Polished Nickel","F","122","2026-07-22","2026-07-21","2","2","2","allocated","ready","ready","Ready","[false/true/2] [true/false/2]","",""
"HW","HW06085","cmrjjzw3c004ibsmbnr2mqaku","2026-07-22","16","30-9-PN","California Faucets Descanso 9 in Hand Towel Bar - Polished Nickel","F","122","2026-07-22","2026-07-21","1","1","1","allocated","ready","ready","Ready","[false/true/1] [true/false/1]","",""
"HW","HW06085","cmrjjzw3c004ibsmbnr2mqaku","2026-07-22","19","30-VTP-SBZ","California Faucets Descanso Vertical Spare Toilet Paper Holder - Satin Bronze","F","122","2026-07-22","2026-09-04","1","1","0","not_allocated","backordered","backordered","Backordered","[false/false/1]","",""
"HW","HW06085","cmrjjzw3c004ibsmbnr2mqaku","2026-07-22","21","30-24-SBZ","Cal Faucets Descanso® 24"" Towel Bar, Premium Finish, Satin Bronze,","F","123","2026-07-22","2026-07-21","2","2","2","allocated","ready","ready","Ready","[false/true/2] [true/false/2]","",""
"HW","HW06085","cmrjjzw3c004ibsmbnr2mqaku","2026-07-22","23","30-9-SBZ","Cal Faucet Descanso®	9"" Hand Towel Bar in Satin Bronze","F","123","2026-07-22","2026-07-21","1","1","1","allocated","ready","ready","Ready","[false/true/1] [true/false/1]","",""
"HW","HW06085","cmrjjzw3c004ibsmbnr2mqaku","2026-07-22","25","30-DRH-SBZ","California Faucets Descanso Double Robe Hook - Satin Bronze","F","122","2026-07-22","2026-07-21","3","3","3","allocated","ready","ready","Ready","[false/true/3] [true/false/3]","",""
"HW","HW06085","cmrjjzw3c004ibsmbnr2mqaku","2026-07-22","28","2286MQUS14","Emtek Modern Tubular Brass Single Hook w/Small Square Rosette - Polished Nickel","F","122","2026-07-22",,"2","2","2","allocated","ready","ready","Ready","[false/true/2] [true/false/2]","",""
"HW","HW06085","cmrjjzw3c004ibsmbnr2mqaku","2026-07-22","30","DELIVERY - HARDWARE COURTESY","Delivery Hardware Courtesy","N","111","2026-07-22",,"1","1","0","ignored","ignored","ignored","Ignored","[false/false/1]","",""
"PG","PG02724","cmrjk0dwx00f7bsmb7x5th8t1","2026-07-22","5","HKM711-18VTB","WATERWORKS Henry One Hole Gooseneck Integrated Pull Spray Kitchen Faucet with Lever Handle in Vintage Brass, 2.2gpm (8.3L/min)","F","123","2026-07-22","2026-06-24","1","1","1","allocated","ready","ready","Ready","[false/true/1] [true/false/1]","",""
"PG","PG02724","cmrjk0dwx00f7bsmb7x5th8t1","2026-07-22","45","11-71059-65185","WATERWORKS Normandy 14 15/16"" x 11 7/16"" x 5 11/16"" Hammered Copper Bar Sink with Center Drain in Dark Nickel v2 LOGO","F","123","2026-07-22","2026-04-01","1","1","1","allocated","ready","ready","Ready","[false/true/1] [true/false/1]","",""
"PG","PG02724","cmrjk0dwx00f7bsmb7x5th8t1","2026-07-22","50","HKM711-18VTB","WATERWORKS Henry One Hole Gooseneck Integrated Pull Spray Kitchen Faucet with Lever Handle in Vintage Brass, 2.2gpm (8.3L/min)","F","123","2026-07-22","2026-06-24","1","1","1","allocated","ready","ready","Ready","[false/true/1] [true/false/1]","",""
"PG","PG02724","cmrjk0dwx00f7bsmb7x5th8t1","2026-07-22","90","26-12293-44544","Waterworks Universal Bar Sink Strainer 2 Inch In Dark Nickel","F","103","2026-07-22","2026-01-08","1","1","1","allocated","ready","ready","Ready","[false/true/1] [true/false/1]","",""
"PG","PG02724","cmrjk0dwx00f7bsmb7x5th8t1","2026-07-22","98","11-71059-65185","WATERWORKS Normandy 14 15/16"" x 11 7/16"" x 5 11/16"" Hammered Copper Bar Sink with Center Drain in Dark Nickel v2 LOGO","F","123","2026-07-22","2026-04-01","1","1","1","allocated","ready","ready","Ready","[false/true/1] [true/false/1]","",""
"PG","PG02724","cmrjk0dwx00f7bsmb7x5th8t1","2026-07-22","99","26-12293-44544","Waterworks Universal Bar Sink Strainer 2 Inch In Dark Nickel","F","103","2026-07-22","2025-12-17","1","1","1","allocated","ready","ready","Ready","[false/true/1] [true/false/1]","",""
"PG","PG03961","cmrjk0ne700gwbsmb06bflu9d","2026-07-22","50","KGU-413B","Kraus Granite Series Undermount Kitchen Sink 31 in - Black Onyx","F","123","2026-07-22","2026-04-20","6","6","6","allocated","ready","ready","Ready","[false/true/6] [true/false/5] [true/false/1]","",""
"PG","PG04007","cmrjk0tv300iybsmbaxkchcdb","2026-07-22","6","PROSELECT5","Mountain Plumbing 1/2 Hp Disposer, 3-Bolt Mount Matte Silver","F","123","2026-07-22",,"0","0","0","complete","complete","complete","Complete","","",""
"PG","PG04007","cmrjk0tv300iybsmbaxkchcdb","2026-07-22","17","PS136NSB","Artos Opera Thermostatic Shower Trim Kit with Hand Shower on Slide Bar - Satin  Brass","F","123","2026-07-22","2026-07-24","1","1","1","allocated","ready","ready","Ready","[false/true/1] [true/false/1]","",""
"PG","PG04048","cmrjk0ytw00k3bsmbis07vpem","2026-07-22","5","STEALTH750","Mountain Plumbing 3/4 Hp Disposer","F","123","2026-07-22",,"1","1","1","allocated","ready","ready","Ready","[true/false/1]","",""
"PG","PG04048","cmrjk0ytw00k3bsmbis07vpem","2026-07-22","7","9800-MAB","Waterstone Industrial Plp Pulldown Faucet - Lever Sprayer","F","123","2026-07-22",,"1","1","1","allocated","ready","ready","Ready","[false/true/1] [true/false/1]","",""
"PG","PG04048","cmrjk0ytw00k3bsmbis07vpem","2026-07-22","9","9010-MAB","Waterstone Industrial Air Switch","F","123","2026-07-22",,"1","1","1","allocated","ready","ready","Ready","[true/false/1]","",""
"PG","PG04048","cmrjk0ytw00k3bsmbis07vpem","2026-07-22","11","BWQ1001012","Brizo Pristive™: Tankless Under Sink 6-Stage Reverse Osmosis System","F","123","2026-07-22",,"1","1","0","not_allocated","eta_pending","eta_pending","ETA pending","[false/false/1]","",""
"PG","PG04048","cmrjk0ytw00k3bsmbis07vpem","2026-07-22","17","MT200EV/PVDBB","Mountain Plumbing Classic – Complete Stopper & Strainer Unit Waste Disposer Trim","F","103","2026-07-22",,"1","1","1","allocated","ready","ready","Ready","[true/false/1]","",""
"PG","PG04048","cmrjk0ytw00k3bsmbis07vpem","2026-07-22","23","1400HC-MAB","Waterstone Parche Hot And Cold Filtration Faucet - Lever Handles","F","123","2026-07-22",,"1","1","1","allocated","ready","ready","Ready","[false/true/1] [true/false/1]","",""
"PG","PG04048","cmrjk0ytw00k3bsmbis07vpem","2026-07-22","25","2002","Waterstone Insta Hot Under Sink System","F","123","2026-07-22",,"1","1","1","allocated","ready","ready","Ready","[false/true/1] [true/false/1]","",""
"PG","PG04048","cmrjk0ytw00k3bsmbis07vpem","2026-07-22","29","9900-MAB","Waterstone Industrial Plp Pulldown Faucet - Toggle Sprayer","F","123","2026-07-22",,"1","1","1","allocated","ready","ready","Ready","[false/true/1] [true/false/1]","",""
"PG","PG04048","cmrjk0ytw00k3bsmbis07vpem","2026-07-22","31","MT300/PVDBB","Mountain Plumbing Classic – 3-1/2? Deluxe Stemball Kitchen Sink Strainer","F","103","2026-07-22",,"1","1","1","allocated","ready","ready","Ready","[true/false/1]","",""
"PG","PG04048","cmrjk0ytw00k3bsmbis07vpem","2026-07-22","34","6307-00","Rohl Allia 32 Inch Fireclay Single Bowl Undermount Kitchen Sink","F","103","2026-07-22","2026-04-16","1","1","1","allocated","ready","ready","Ready","[false/true/1] [true/false/1]","",""
"PG","PG04048","cmrjk0ytw00k3bsmbis07vpem","2026-07-22","36","WSG6307SS","Rohl Wire Sink Grid For 6307 Kitchen Sink","F","103","2026-07-22","2026-04-16","1","1","1","allocated","ready","ready","Ready","[false/true/1] [true/false/1]","",""
"PG","PG04145","cmrjk14da00mibsmbjegzw566","2026-07-22","24","CTDRN-WH-PB","Barclay Duet 67"" Cast Iron Double Roll Top Tub - Polished Brass","F","123","2026-07-22",,"0","0","0","complete","complete","complete","Complete","","",""
"PG","PG04145","cmrjk14da00mibsmbjegzw566","2026-07-22","30","CST608CSFGAT40#01","Toto Ultramax Washlet S7A One-Piece Toilets Component part Elongated Bowl in White","F","123","2026-07-22","2026-07-31","1","1","0","not_allocated","backordered","backordered","Backordered","[false/false/1]","",""
"PG","PG04145","cmrjk14da00mibsmbjegzw566","2026-07-22","83","SW4726AT40#01","Toto S7 Washlet+ Manual Contemp Lid","F","103","2026-07-22",,"1","1","1","allocated","ready","ready","Ready","[true/false/1]","",""
"PG","PG04145","cmrjk14da00mibsmbjegzw566","2026-07-22","85","THU857","Toto Auto-Flush Unit For 1.28Gpf","F","103","2026-07-22","2026-07-31","1","1","0","not_allocated","backordered","backordered","Backordered","[false/false/1]","",""
